年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2017,工業及服務業部門,27055,98.31,22841,99.06,23806,97.95,25527,98.16,28446,98.36,33633,98.93
2017,工業及服務業部門-專業人員,34003,99.07,—,—,—,—,—,—,32108,98.93,36778,99.13
2017,工業及服務業部門-技術員及助理專業人員,28646,99,—,—,38315,…,26585,98.5,28647,98.94,32424,99.16
2017,工業及服務業部門-事務支援人員,26068,98.07,—,—,23677,98.48,24952,98.42,26781,98.46,30799,99.22
2017,工業及服務業部門-服務及銷售工作人員,25012,99.15,23526,99.38,24015,98.9,25080,99.09,26644,99.32,—,—
2017,工業及服務業部門-技藝_機械設備操作及組裝人員,25338,97.81,—,—,24316,97.08,25401,97.82,26842,98.39,—,—
2017,工業及服務業部門-基層技術工及勞力工,22824,98.74,22538,98.9,23035,98.64,—,—,—,—,—,—
2017,工業部門,26860,98.11,22669,98.93,23667,97.8,25393,97.99,28263,98.12,33448,98.77
2017,工業部門-專業人員,33788,98.96,—,—,—,—,—,—,31775,98.66,36640,98.99
2017,工業部門-技術員及助理專業人員,28103,98.68,—,—,—,—,26240,98.15,28126,98.58,31853,98.95
2017,工業部門-事務支援人員,25906,98.01,—,—,23585,98.35,24870,98.29,26662,98.44,30633,99.21
2017,工業部門-服務及銷售工作人員,25811,98.81,23392,98.87,24409,98.31,26006,98.62,28117,99.05,—,—
2017,工業部門-技藝_機械設備操作及組裝人員,24919,97.83,—,—,23927,97.15,25011,97.84,26389,98.41,—,—
2017,工業部門-基層技術工及勞力工,22784,98.67,22484,98.93,23003,98.51,—,—,—,—,—,—
2017,礦業及土石採取業,26170,96.2,22160,97.39,24294,93.79,25233,95.11,27718,97.41,32734,97.32
2017,礦業及土石採取業-專業人員,35768,98.1,—,—,—,—,—,—,35300,97.86,36193,98.49
2017,礦業及土石採取業-技術員及助理專業人員,27744,99.2,—,—,—,—,26893,98.81,27319,100,29523,98.47
2017,礦業及土石採取業-事務支援人員,23441,97.21,—,—,22274,98.48,23075,97.63,24815,99.35,30000,…
2017,礦業及土石採取業-服務及銷售工作人員,23625,…,—,—,23625,…,23625,…,—,—,—,—
2017,礦業及土石採取業-技藝_機械設備操作及組裝人員,26988,96.99,—,—,26374,95.61,27021,96.69,28367,96.91,—,—
