銀行,年月,活期存款-固定,活期存款-機動,活儲存款-固定,活儲存款-機動,定存利率-一個月-固定,定存利率-一個月-機動,定存利率-三個月-固定,定存利率-三個月-機動,定存利率-六個月-固定,定存利率-六個月-機動,定存利率-九個月-固定,定存利率-九個月-機動,定存利率-一年期-固定,定存利率-一年期-機動,定存利率-二年期-固定,定存利率-二年期-機動,定存利率-三年期-固定,定存利率-三年期-機動,定儲利率-一年期-固定,定儲利率-一年期-機動,定儲利率-二年期-固定,定儲利率-二年期-機動,定儲利率-三年期-固定,定儲利率-三年期-機動,指數房貸-固定,指數房貸-機動,房貸月指-固定,房貸月指-機動,基準利率-固定,基準利率-機動
第一銀行,090/01,--,1.500,--,3.500,4.300,4.300,4.600,4.600,4.600,4.550,4.800,4.700,5.000,4.950,5.050,5.000,5.100,5.050,5.050,5.000,5.100,5.050,5.150,5.100,NA,NA,NA,NA,NA,NA
第一銀行,090/02,--,1.500,--,3.500,4.300,4.300,4.500,4.500,4.550,4.600,4.700,4.800,4.800,4.850,--,4.950,--,5.000,4.850,4.900,--,5.000,--,5.050,NA,NA,NA,NA,NA,NA
第一銀行,090/03,--,1.500,--,3.500,4.200,4.200,4.300,4.350,4.400,4.500,4.600,4.750,4.650,4.750,4.650,4.800,4.650,4.850,4.700,4.800,4.700,4.850,4.700,4.900,NA,NA,NA,NA,NA,NA
第一銀行,090/04,--,1.500,--,3.400,3.900,4.000,3.900,4.000,4.050,4.150,4.150,4.250,4.300,4.400,4.350,4.450,4.350,4.500,4.350,4.450,4.400,4.500,4.400,4.550,NA,NA,NA,NA,NA,NA
第一銀行,090/05,--,1.500,--,3.300,3.700,3.750,3.750,3.800,3.900,4.000,3.950,4.100,4.050,4.200,4.100,4.250,4.150,4.250,4.100,4.300,4.150,4.300,4.150,4.300,NA,NA,NA,NA,NA,NA
第一銀行,090/06,--,1.500,--,3.300,3.700,3.750,3.750,3.800,3.900,4.000,3.950,4.100,4.050,4.200,4.100,4.250,4.150,4.250,4.100,4.300,4.150,4.300,4.150,4.300,NA,NA,NA,NA,NA,NA
第一銀行,090/07,--,1.500,--,3.100,3.500,3.550,3.550,3.600,3.700,3.800,3.750,3.900,3.850,4.000,3.900,4.050,3.950,4.050,3.950,4.150,3.950,4.150,3.950,4.150,NA,NA,NA,NA,NA,NA
第一銀行,090/08,--,1.500,--,3.000,3.250,3.300,3.300,3.350,3.450,3.550,3.500,3.650,3.600,3.750,3.650,3.800,3.700,3.800,3.700,3.950,3.700,3.950,3.700,3.950,NA,NA,NA,NA,NA,NA
第一銀行,090/09,--,1.400,--,2.750,2.900,2.900,2.950,3.000,3.000,3.050,3.050,3.150,3.100,3.250,3.150,3.300,3.200,3.300,3.200,3.450,3.200,3.450,3.200,3.450,NA,NA,NA,NA,NA,NA
第一銀行,090/10,--,1.300,--,2.500,2.600,2.600,2.600,2.650,2.650,2.700,2.700,2.800,2.800,2.950,2.800,3.000,2.850,3.000,2.850,3.200,2.850,3.200,2.850,3.200,NA,NA,NA,NA,NA,NA
第一銀行,090/11,--,1.200,--,2.300,2.150,2.300,2.200,2.350,2.300,2.450,2.350,2.500,2.450,2.700,2.450,2.700,2.450,2.700,2.500,2.900,2.500,2.900,2.500,2.900,NA,NA,NA,NA,NA,NA
第一銀行,090/12,--,1.200,--,2.300,2.150,2.300,2.200,2.350,2.300,2.450,2.350,2.500,2.450,2.700,2.450,2.700,2.450,2.700,2.500,2.900,2.500,2.900,2.500,2.900,NA,NA,NA,NA,NA,NA
第一銀行,091/01,--,1.200,--,2.200,2.050,2.200,2.050,2.200,2.250,2.250,2.250,2.250,2.300,2.450,2.300,2.450,2.300,2.450,2.350,2.725,2.350,2.725,2.350,2.725,NA,NA,NA,NA,NA,NA
第一銀行,091/02,--,1.200,--,2.200,2.050,2.200,2.050,2.200,2.250,2.250,2.250,2.250,2.300,2.450,2.300,2.450,2.300,2.450,2.350,2.725,2.350,2.725,2.350,2.725,NA,NA,NA,NA,NA,NA
第一銀行,091/03,--,1.200,--,2.000,2.050,2.200,2.050,2.200,2.250,2.250,2.250,2.250,2.300,2.450,2.300,2.450,2.300,2.450,2.350,2.725,2.350,2.725,2.350,2.725,NA,NA,NA,NA,NA,NA
第一銀行,091/04,--,1.000,--,1.800,2.050,2.050,2.100,2.100,2.200,2.200,2.250,2.250,2.350,2.350,2.350,2.350,2.350,2.350,2.400,2.425,2.400,2.425,2.400,2.425,NA,NA,NA,NA,NA,NA
第一銀行,091/05,--,1.000,--,1.800,2.050,2.050,2.100,2.100,2.200,2.200,2.250,2.250,2.350,2.350,2.350,2.350,2.350,2.350,2.400,2.425,2.400,2.425,2.400,2.425,NA,NA,NA,NA,NA,NA
第一銀行,091/06,--,0.700,--,1.600,1.950,1.950,2.050,2.050,2.100,2.100,2.250,2.250,2.300,2.300,2.350,2.300,2.400,2.300,2.400,2.400,2.450,2.400,2.500,2.400,NA,NA,NA,NA,NA,NA
第一銀行,091/07,--,0.500,--,1.200,1.700,1.700,1.800,1.800,1.900,1.900,2.000,2.000,2.100,2.100,2.200,2.150,2.300,2.150,2.200,2.150,2.300,2.200,2.400,2.200,NA,NA,NA,NA,NA,NA
第一銀行,091/08,--,0.500,--,1.200,1.700,1.700,1.800,1.800,1.900,1.900,2.000,2.000,2.100,2.100,2.200,2.150,2.300,2.150,2.150,2.150,2.300,2.200,2.400,2.200,NA,NA,NA,NA,NA,NA
第一銀行,091/09,--,0.500,--,1.200,1.700,1.700,1.800,1.800,1.900,1.900,2.000,2.000,2.100,2.100,2.200,2.150,2.300,2.150,2.150,2.150,2.300,2.200,2.400,2.200,--,2.180,NA,NA,NA,NA
第一銀行,091/10,--,0.500,--,1.200,1.700,1.700,1.800,1.800,1.900,1.900,2.000,2.000,2.100,2.100,2.200,2.150,2.300,2.150,2.150,2.150,2.300,2.200,2.400,2.200,--,2.170,NA,NA,NA,NA
第一銀行,091/11,--,0.300,--,1.000,1.450,1.450,1.550,1.550,1.650,1.650,1.750,1.750,1.850,1.850,1.950,1.900,2.050,1.900,1.900,1.900,2.050,1.950,2.150,1.950,--,2.170,NA,NA,NA,NA
第一銀行,091/12,--,0.300,--,1.000,1.450,1.450,1.550,1.550,1.650,1.650,1.750,1.750,1.850,1.850,1.950,1.900,2.050,1.900,1.900,1.900,2.050,1.950,2.150,1.950,--,2.170,NA,NA,NA,NA
第一銀行,092/01,--,0.250,--,0.700,1.150,1.150,1.250,1.250,1.350,1.350,1.450,1.450,1.550,1.550,1.650,1.600,1.750,1.600,1.600,1.600,1.750,1.650,1.850,1.650,--,1.910,NA,NA,--,4.180
第一銀行,092/02,--,0.250,--,0.700,1.150,1.150,1.250,1.250,1.350,1.350,1.450,1.450,1.550,1.550,1.650,1.600,1.750,1.600,1.600,1.600,1.750,1.650,1.850,1.650,--,1.910,NA,NA,--,4.180
第一銀行,092/03,--,0.250,--,0.700,1.150,1.150,1.250,1.250,1.350,1.350,1.450,1.450,1.550,1.550,1.650,1.600,1.750,1.600,1.600,1.600,1.750,1.650,1.850,1.650,--,1.910,NA,NA,--,4.180
第一銀行,092/04,--,0.250,--,0.700,1.150,1.150,1.250,1.250,1.350,1.350,1.450,1.450,1.550,1.550,1.650,1.600,1.750,1.600,1.550,1.550,1.750,1.650,1.850,1.650,--,1.590,NA,NA,--,3.650
第一銀行,092/05,--,0.250,--,0.700,1.150,1.150,1.250,1.250,1.350,1.350,1.450,1.450,1.525,1.525,1.650,1.600,1.750,1.600,1.550,1.550,1.750,1.650,1.850,1.650,--,1.590,NA,NA,--,3.650
