"消費者物價基本分類暨項目群指數-月 依 期間, 基本分類暨項目群 與 種類"

" ","總指數"
" ","原始值"
"1981M01",55.24
"1981M02",56.18
"1981M03",56.43
"1981M04",56.65
"1981M05",56.43
"1981M06",56.97
"1981M07",57.19
"1981M08",57.75
"1981M09",58.44
"1981M10",58.12
"1981M11",57.73
"1981M12",57.65
"1982M01",58.02
"1982M02",57.84
"1982M03",57.99
"1982M04",58.14
"1982M05",58.49
"1982M06",58.61
"1982M07",58.58
"1982M08",60.35
"1982M09",59.79
"1982M10",59.31
"1982M11",58.83
"1982M12",59.05
"1983M01",59.07
"1983M02",59.66
"1983M03",59.91
"1983M04",60.17
"1983M05",59.76
"1983M06",60.20
"1983M07",59.53
"1983M08",59.50
"1983M09",59.68
"1983M10",59.66
"1983M11",59.16
"1983M12",58.35
"1984M01",58.39
"1984M02",58.98
"1984M03",59.14
"1984M04",59.25
"1984M05",59.97
"1984M06",59.92
"1984M07",59.76
"1984M08",59.98
"1984M09",60.18
"1984M10",59.94
"1984M11",59.60
"1984M12",59.31
"1985M01",59.34
"1985M02",59.81
"1985M03",59.84
"1985M04",59.55
"1985M05",59.36
"1985M06",59.27
"1985M07",59.33
"1985M08",59.07
"1985M09",60.05
"1985M10",59.99
"1985M11",59.15
"1985M12",58.54
"1986M01",59.09
"1986M02",59.25
"1986M03",59.24
"1986M04",59.39
"1986M05",59.47
"1986M06",59.62
"1986M07",59.47
"1986M08",59.80
"1986M09",61.32
"1986M10",61.19
"1986M11",60.34
"1986M12",60.07
"1987M01",59.91
"1987M02",59.79
"1987M03",59.32
"1987M04",59.53
"1987M05",59.54
"1987M06",59.58
"1987M07",60.27
"1987M08",60.76
"1987M09",60.98
"1987M10",60.43
"1987M11",60.60
"1987M12",61.23
"1988M01",60.24
"1988M02",60.00
"1988M03",59.66
"1988M04",59.74
"1988M05",60.41
"1988M06",60.78
"1988M07",60.78
"1988M08",61.64
"1988M09",61.84
"1988M10",62.28
"1988M11",61.96
"1988M12",61.91
"1989M01",61.91
"1989M02",62.45
"1989M03",62.60
"1989M04",63.16
"1989M05",63.63
"1989M06",63.46
"1989M07",63.16
"1989M08",63.69
"1989M09",65.36
"1989M10",65.98
"1989M11",64.28
"1989M12",63.85
"1990M01",64.29
"1990M02",64.20
"1990M03",64.68
"1990M04",65.32
"1990M05",66.00
"1990M06",65.75
"1990M07",66.19
"1990M08",67.29
"1990M09",69.62
"1990M10",68.12
"1990M11",66.81
"1990M12",66.76
"1991M01",67.50
"1991M02",67.90
"1991M03",67.57
"1991M04",68.01
"1991M05",68.24
"1991M06",68.40
"1991M07",68.87
"1991M08",69.03
"1991M09",69.13
"1991M10",69.81
"1991M11",70.02
"1991M12",69.35
"1992M01",70.04
"1992M02",70.66
"1992M03",70.75
"1992M04",71.90
"1992M05",72.14
"1992M06",71.94
"1992M07",71.42
"1992M08",71.10
"1992M09",73.39
"1992M10",73.36
"1992M11",72.19
"1992M12",71.72
"1993M01",72.60
"1993M02",72.82
"1993M03",73.05
"1993M04",73.89
"1993M05",73.64
"1993M06",75.07
"1993M07",73.77
"1993M08",73.46
"1993M09",73.93
"1993M10",74.26
"1993M11",74.42
"1993M12",75.04
"1994M01",74.71
"1994M02",75.68
"1994M03",75.47
"1994M04",76.16
"1994M05",76.86
"1994M06",76.67
"1994M07",76.83
"1994M08",78.64
"1994M09",78.88
"1994M10",78.02
"1994M11",77.31
"1994M12",77.03
"1995M01",78.62
"1995M02",78.28
"1995M03",78.39
"1995M04",79.54
"1995M05",79.39
"1995M06",80.25
"1995M07",79.78
"1995M08",79.98
"1995M09",80.46
"1995M10",80.26
"1995M11",80.58
"1995M12",80.55
"1996M01",80.42
"1996M02",81.22
"1996M03",80.75
"1996M04",81.78
"1996M05",81.68
"1996M06",82.16
"1996M07",80.94
"1996M08",84.02
"1996M09",83.55
"1996M10",83.22
"1996M11",83.16
"1996M12",82.58
"1997M01",82.01
"1997M02",82.89
"1997M03",81.63
"1997M04",82.19
"1997M05",82.30
"1997M06",83.67
"1997M07",83.62
"1997M08",83.53
"1997M09",84.08
"1997M10",82.95
"1997M11",82.73
"1997M12",82.80
"1998M01",83.65
"1998M02",83.13
"1998M03",83.65
"1998M04",83.93
"1998M05",83.67
"1998M06",84.88
"1998M07",84.32
"1998M08",83.91
"1998M09",84.42
"1998M10",85.09
"1998M11",85.96
"1998M12",84.55
"1999M01",83.98
"1999M02",84.88
"1999M03",83.26
"1999M04",83.85
"1999M05",84.08
"1999M06",84.16
"1999M07",83.63
"1999M08",84.87
"1999M09",84.91
"1999M10",85.44
"1999M11",85.19
"1999M12",84.68
"2000M01",84.41
"2000M02",85.66
"2000M03",84.19
"2000M04",84.89
"2000M05",85.42
"2000M06",85.30
"2000M07",84.84
"2000M08",85.10
"2000M09",86.29
"2000M10",86.31
"2000M11",87.11
"2000M12",86.07
"2001M01",86.40
"2001M02",84.78
"2001M03",84.55
"2001M04",85.25
"2001M05",85.23
"2001M06",85.18
"2001M07",84.92
"2001M08",85.48
"2001M09",85.85
"2001M10",87.15
"2001M11",86.12
"2001M12",84.62
"2002M01",84.95
"2002M02",85.98
"2002M03",84.56
"2002M04",85.43
"2002M05",85.01
"2002M06",85.27
"2002M07",85.28
"2002M08",85.25
"2002M09",85.19
"2002M10",85.67
"2002M11",85.64
"2002M12",85.27
"2003M01",85.87
"2003M02",84.68
"2003M03",84.41
"2003M04",85.33
"2003M05",85.28
"2003M06",84.79
"2003M07",84.44
"2003M08",84.75
"2003M09",85.01
"2003M10",85.62
"2003M11",85.24
"2003M12",85.22
"2004M01",85.88
"2004M02",85.22
"2004M03",85.16
"2004M04",86.14
"2004M05",86.06
"2004M06",86.26
"2004M07",87.25
"2004M08",86.91
"2004M09",87.38
"2004M10",87.66
"2004M11",86.54
"2004M12",86.60
"2005M01",86.30
"2005M02",86.87
"2005M03",87.12
"2005M04",87.56
"2005M05",88.04
"2005M06",88.32
"2005M07",89.35
"2005M08",90.01
"2005M09",90.14
"2005M10",90.07
"2005M11",88.71
"2005M12",88.51
"2006M01",88.61
"2006M02",87.73
"2006M03",87.48
"2006M04",88.63
"2006M05",89.44
"2006M06",89.85
"2006M07",90.05
"2006M08",89.51
"2006M09",89.02
"2006M10",89.00
"2006M11",88.92
"2006M12",89.11
"2007M01",88.92
"2007M02",89.26
"2007M03",88.22
"2007M04",89.24
"2007M05",89.42
"2007M06",89.97
"2007M07",89.76
"2007M08",90.95
"2007M09",91.79
"2007M10",93.74
"2007M11",93.19
"2007M12",92.08
"2008M01",91.54
"2008M02",92.71
"2008M03",91.71
"2008M04",92.70
"2008M05",92.74
"2008M06",94.44
"2008M07",94.97
"2008M08",95.21
"2008M09",94.64
"2008M10",95.98
"2008M11",94.99
"2008M12",93.24
"2009M01",92.89
"2009M02",91.47
"2009M03",91.57
"2009M04",92.27
"2009M05",92.66
"2009M06",92.57
"2009M07",92.75
"2009M08",94.43
"2009M09",93.80
"2009M10",94.16
"2009M11",93.46
"2009M12",93.01
"2010M01",93.13
"2010M02",93.62
"2010M03",92.73
"2010M04",93.51
"2010M05",93.36
"2010M06",93.68
"2010M07",93.97
"2010M08",93.98
"2010M09",94.08
"2010M10",94.70
"2010M11",94.88
"2010M12",94.16
"2011M01",94.15
"2011M02",94.86
"2011M03",94.03
"2011M04",94.73
"2011M05",94.91
"2011M06",95.50
"2011M07",95.22
"2011M08",95.25
"2011M09",95.37
"2011M10",95.88
"2011M11",95.86
"2011M12",96.07
"2012M01",96.37
"2012M02",95.09
"2012M03",95.21
"2012M04",96.09
"2012M05",96.57
"2012M06",97.19
"2012M07",97.56
"2012M08",98.51
"2012M09",98.19
"2012M10",98.12
"2012M11",97.38
"2012M12",97.62
"2013M01",97.45
"2013M02",97.91
"2013M03",96.50
"2013M04",97.10
"2013M05",97.28
"2013M06",97.77
"2013M07",97.62
"2013M08",97.74
"2013M09",99.02
"2013M10",98.75
"2013M11",98.04
"2013M12",97.95
"2014M01",98.25
"2014M02",97.87
"2014M03",98.05
"2014M04",98.71
"2014M05",98.86
"2014M06",99.37
"2014M07",99.34
"2014M08",99.77
"2014M09",99.72
"2014M10",99.79
"2014M11",98.88
"2014M12",98.54
"2015M01",97.33
"2015M02",97.67
"2015M03",97.45
"2015M04",97.90
"2015M05",98.14
"2015M06",98.81
"2015M07",98.71
"2015M08",99.33
"2015M09",100.01
"2015M10",100.10
"2015M11",99.41
"2015M12",98.67
"2016M01",98.12
"2016M02",100.02
"2016M03",99.41
"2016M04",99.73
"2016M05",99.35
"2016M06",99.70
"2016M07",99.93
"2016M08",99.89
"2016M09",100.35
"2016M10",101.80
"2016M11",101.37
"2016M12",100.34
"2017M01",100.32
"2017M02",99.96
"2017M03",99.59
"2017M04",99.83
"2017M05",99.94
"2017M06",100.70
"2017M07",100.70
"2017M08",100.85
"2017M09",100.84
"2017M10",101.46
"2017M11",101.71
"2017M12",101.56
"2018M01",101.21
"2018M02",102.16
"2018M03",101.17
"2018M04",101.83
"2018M05",101.69
"2018M06",102.11
"2018M07",102.47
"2018M08",102.40
"2018M09",102.57

"(http://www.stat.gov.tw/lp.asp?ctNode=486&CtUnit=331&BaseDSD=7) more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=11) 國情統計通報 "
"1.項目群月指數自2013年1月起發布。 "
"2.當月該項水果若非屬產季，則指數及年增率欄以「-」列示。 "
" "

