銀行,年月,定存利率-三個月-固定,定存利率-一年期-固定
第一銀行,090/01,4.600,5.000
第一銀行,090/02,4.500,4.800
第一銀行,090/03,4.300,4.650
第一銀行,090/04,3.900,4.300
第一銀行,090/05,3.750,4.050
第一銀行,090/06,3.750,4.050
第一銀行,090/07,3.550,3.850
第一銀行,090/08,3.300,3.600
第一銀行,090/09,2.950,3.100
第一銀行,090/10,2.600,2.800
第一銀行,090/11,2.200,2.450
第一銀行,090/12,2.200,2.450
第一銀行,091/01,2.050,2.300
第一銀行,091/02,2.050,2.300
第一銀行,091/03,2.050,2.300
第一銀行,091/04,2.100,2.350
第一銀行,091/05,2.100,2.350
第一銀行,091/06,2.050,2.300
第一銀行,091/07,1.800,2.100
第一銀行,091/08,1.800,2.100
第一銀行,091/09,1.800,2.100
第一銀行,091/10,1.800,2.100
第一銀行,091/11,1.550,1.850
第一銀行,091/12,1.550,1.850
第一銀行,092/01,1.250,1.550
第一銀行,092/02,1.250,1.550
第一銀行,092/03,1.250,1.550
第一銀行,092/04,1.250,1.550
第一銀行,092/05,1.250,1.525
第一銀行,092/06,1.250,1.525
第一銀行,092/07,1.125,1.400
第一銀行,092/08,1.125,1.400
第一銀行,092/09,1.125,1.400
第一銀行,092/10,1.125,1.400
第一銀行,092/11,1.125,1.400
第一銀行,092/12,1.125,1.400
第一銀行,093/01,1.125,1.400
第一銀行,093/02,1.125,1.400
第一銀行,093/03,1.125,1.400
第一銀行,093/04,1.125,1.400
第一銀行,093/05,1.125,1.400
第一銀行,093/06,1.125,1.400
第一銀行,093/07,1.125,1.400
第一銀行,093/08,1.125,1.400
第一銀行,093/09,1.125,1.400
第一銀行,093/10,1.175,1.525
第一銀行,093/11,1.175,1.525
第一銀行,093/12,1.175,1.525
第一銀行,094/01,1.240,1.595
第一銀行,094/02,1.240,1.595
第一銀行,094/03,1.310,1.690
第一銀行,094/04,1.310,1.690
第一銀行,094/05,1.310,1.690
第一銀行,094/06,1.310,1.690
第一銀行,094/07,1.390,1.790
第一銀行,094/08,1.390,1.790
第一銀行,094/09,1.470,1.890
第一銀行,094/10,1.470,1.890
第一銀行,094/11,1.470,1.890
第一銀行,094/12,1.550,1.990
第一銀行,095/01,1.550,1.990
第一銀行,095/02,1.550,1.990
第一銀行,095/03,1.550,1.990
第一銀行,095/04,1.620,2.060
第一銀行,095/05,1.620,2.060
第一銀行,095/06,1.620,2.060
第一銀行,095/07,1.690,2.130
第一銀行,095/08,1.690,2.130
第一銀行,095/09,1.690,2.130
第一銀行,095/10,1.760,2.200
第一銀行,095/11,1.760,2.200
第一銀行,095/12,1.760,2.200
第一銀行,096/01,1.790,2.230
第一銀行,096/02,1.790,2.230
第一銀行,096/03,1.790,2.230
第一銀行,096/04,1.820,2.260
第一銀行,096/05,1.820,2.260
第一銀行,096/06,2.020,2.460
第一銀行,096/07,2.020,2.460
第一銀行,096/08,2.020,2.460
第一銀行,096/09,2.090,2.530
第一銀行,096/10,2.090,2.530
第一銀行,096/11,2.090,2.530
第一銀行,096/12,2.160,2.610
第一銀行,097/01,2.160,2.610
第一銀行,097/02,2.160,2.610
第一銀行,097/03,2.160,2.610
第一銀行,097/04,2.200,2.650
第一銀行,097/05,2.200,2.650
第一銀行,097/06,2.200,2.650
第一銀行,097/07,2.260,2.710
第一銀行,097/08,2.260,2.710
第一銀行,097/09,2.260,2.710
第一銀行,097/10,2.110,2.555
第一銀行,097/11,1.755,2.170
第一銀行,097/12,1.005,1.420
第一銀行,098/01,0.505,0.920
第一銀行,098/02,0.405,0.770
第一銀行,098/03,0.405,0.770
第一銀行,098/04,0.405,0.770
第一銀行,098/05,0.405,0.770
第一銀行,098/06,0.405,0.770
第一銀行,098/07,0.405,0.770
第一銀行,098/08,0.405,0.770
第一銀行,098/09,0.405,0.770
第一銀行,098/10,0.530,0.900
第一銀行,098/11,0.530,0.900
第一銀行,098/12,0.530,0.900
第一銀行,099/01,0.530,0.900
第一銀行,099/02,0.530,0.900
第一銀行,099/03,0.530,0.900
第一銀行,099/04,0.530,0.900
第一銀行,099/05,0.530,0.900
第一銀行,099/06,0.655,1.025
第一銀行,099/07,0.655,1.025
第一銀行,099/08,0.655,1.025
第一銀行,099/09,0.655,1.025
第一銀行,099/10,0.740,1.130
第一銀行,099/11,0.740,1.130
第一銀行,099/12,0.740,1.130
第一銀行,100/01,0.790,1.190
第一銀行,100/02,0.790,1.190
第一銀行,100/03,0.790,1.190
第一銀行,100/04,0.870,1.280
第一銀行,100/05,0.870,1.280
第一銀行,100/06,0.870,1.280
第一銀行,100/07,0.940,1.355
第一銀行,100/08,0.940,1.355
第一銀行,100/09,0.940,1.355
第一銀行,100/10,0.940,1.355
第一銀行,100/11,0.940,1.355
第一銀行,100/12,0.940,1.355
第一銀行,101/01,0.940,1.355
第一銀行,101/02,0.940,1.355
第一銀行,101/03,0.940,1.355
第一銀行,101/04,0.940,1.355
第一銀行,101/05,0.940,1.355
第一銀行,101/06,0.940,1.355
第一銀行,101/07,0.940,1.355
第一銀行,101/08,0.940,1.355
第一銀行,101/09,0.940,1.355
第一銀行,101/10,0.940,1.355
第一銀行,101/11,0.940,1.355
第一銀行,101/12,0.940,1.355
第一銀行,102/01,0.940,1.355
第一銀行,102/02,0.940,1.355
第一銀行,102/03,0.940,1.355
