學號,最高學歷畢業學校
92aS67fee,新店高中
d55S6d052,東山高中
03eS6e785,成功高中
d86S6c7fa,大同高中
41fS68fb4,中山女中
783S62a81,松山高中
223S63286,松山高中
105S60ba1,三重高中
b38S6c135,永平高中
4a7S6e060,松山高中
78fS6f8f5,桃園高中
c9fS6a7fa,新竹女中
d14S66856,竹北高中
b75S6fc4a,台中一中高中
acfS61e23,台中女中
d1bS60ac8,台中女中
859S68919,台中女中
431S6a392,嘉義高中
f1aS6aad6,嘉義高中
d75S6fb2d,台南女中
3b8S6c42b,高雄女中
bc2S6e7d2,高雄女中
9d3S6b2e4,鳳山高中
194S69827,高雄高中
45eS68ae9,高雄市立中正高中
d00S6f869,高雄師範大學附中
696S62418,高雄高中
82dS68b30,台中女中
433S6c019,建國高中
e7bS6853a,新竹女中
5faS67b77,中興高中
a39S637b3,彰化女中
683S6e9be,高雄師範大學附中
0cfS61e0e,高雄師範大學附中
16cS6d066,高雄高中
cf7S615da,新莊高中
198S695c6,鳳山高中
599S612e9,花蓮女中
852S6e023,高雄女中
2d1S6dbc9,嘉義女中
580S66fe5,和平高中
f6cS6f28a,成功高中
a67S6708b,成功高中
b63S6e541,延平高中
d33S65a1c,建國高中
9faS61d16,師範大學附中
f82S67243,大直高中
68cS60d53,中正高中
c03S60d79,中山女中
836S66dad,中山女中
31cS69f50,麗山高中
656S6cfc7,板橋高中
e14S62bcc,成功高中
163S62831,桃園高中
0f4S678a4,中壢高中
f1aS6019a,中壢高中
841S66c69,武陵高中
24eS63e2d,新竹女中
e42S6c70e,竹北高中
c18S6fac2,中興大學附中
6caS6ecc4,文華高中
d35S64140,台中女中
a40S6581d,文華高中
7d9S60433,曉明女中
a5fS63a08,文華高中
310S61f59,彰化女中
7feS63a73,嘉義女中
f9eS6bc6b,台南一中高中
b70S62557,道明高中
c62S60130,鳳山高中
8a5S6b85a,鳳山高中
b73S6af4e,屏東女中
194S6fb93,高雄高中
f1aS63b9b,文華高中
7f0S6af5f,政治大學附中
992S659b8,薇閣高中
587S6a232,台中女中
98dS68e3d,衛道高中
306S60dc3,彰化高中
f37S682f0,彰化女中
1a8S6b315,興國高中
70bS61fca,道明高中
ce8S64c8d,屏東女中
d20S6fd8d,台中二中高中
40fS62951,東山高中
164S65940,大同高中
0e4S61925,成功高中
8d8S69073,成功高中
94eS63f37,建國高中
fd3S6f87e,中崙高中
68cS6214c,中山女中
bddS6505a,新莊高中
a5eS6993a,第一女中
7e5S6b91a,松山高中
ef9S69c12,桃園高中
259S6759b,桃園高中
590S693c2,新興高中
c96S6456d,中壢高中
