銀行,年月,利率
第一銀行,090/01,4.300
第一銀行,090/02,4.300
第一銀行,090/03,4.200
第一銀行,090/04,3.900
第一銀行,090/05,3.700
第一銀行,090/06,3.700
第一銀行,090/07,3.500
第一銀行,090/08,3.250
第一銀行,090/09,2.900
第一銀行,090/10,2.600
第一銀行,090/11,2.150
第一銀行,090/12,2.150
第一銀行,091/01,2.050
第一銀行,091/02,2.050
第一銀行,091/03,2.050
第一銀行,091/04,2.050
第一銀行,091/05,2.050
第一銀行,091/06,1.950
第一銀行,091/07,1.700
第一銀行,091/08,1.700
第一銀行,091/09,1.700
第一銀行,091/10,1.700
第一銀行,091/11,1.450
第一銀行,091/12,1.450
第一銀行,092/01,1.150
第一銀行,092/02,1.150
第一銀行,092/03,1.150
第一銀行,092/04,1.150
第一銀行,092/05,1.150
第一銀行,092/06,1.150
第一銀行,092/07,1.025
第一銀行,092/08,1.025
第一銀行,092/09,1.025
第一銀行,092/10,1.025
第一銀行,092/11,1.025
第一銀行,092/12,1.025
第一銀行,093/01,1.025
第一銀行,093/02,1.025
第一銀行,093/03,1.025
第一銀行,093/04,1.025
第一銀行,093/05,1.025
第一銀行,093/06,1.025
第一銀行,093/07,1.025
第一銀行,093/08,1.025
第一銀行,093/09,1.025
第一銀行,093/10,1.155
第一銀行,093/11,1.155
第一銀行,093/12,1.155
第一銀行,094/01,1.220
第一銀行,094/02,1.220
第一銀行,094/03,1.290
第一銀行,094/04,1.290
第一銀行,094/05,1.290
第一銀行,094/06,1.290
第一銀行,094/07,1.360
第一銀行,094/08,1.360
第一銀行,094/09,1.430
第一銀行,094/10,1.430
第一銀行,094/11,1.430
第一銀行,094/12,1.500
第一銀行,095/01,1.500
第一銀行,095/02,1.500
第一銀行,095/03,1.500
第一銀行,095/04,1.570
第一銀行,095/05,1.570
第一銀行,095/06,1.570
第一銀行,095/07,1.640
第一銀行,095/08,1.640
第一銀行,095/09,1.640
第一銀行,095/10,1.710
第一銀行,095/11,1.710
第一銀行,095/12,1.710
第一銀行,096/01,1.740
第一銀行,096/02,1.740
第一銀行,096/03,1.740
第一銀行,096/04,1.770
第一銀行,096/05,1.770
第一銀行,096/06,1.970
第一銀行,096/07,1.970
第一銀行,096/08,1.970
第一銀行,096/09,2.030
第一銀行,096/10,2.030
第一銀行,096/11,2.030
第一銀行,096/12,2.090
第一銀行,097/01,2.090
第一銀行,097/02,2.090
第一銀行,097/03,2.090
第一銀行,097/04,2.130
第一銀行,097/05,2.130
第一銀行,097/06,2.130
第一銀行,097/07,2.190
