居住地行政區,性別,本學期學分數,本學期目前已參加之課外活動,入學年
基隆市,男,20,啦啦隊,107
新北市三峽區,女,20,社團,107
高雄市楠梓區,女,18,無,107
台中市南屯區,女,30,"社團, 學會",106
台北市信義區,男,10,校外實習,104
新北市永和區,女,18,打工,107
台北市,女,16,無,107
台中市東區,男,31,打工,105
台北市內湖區,女,18,"啦啦隊, 打工",107
台中市大里區,男,26,社團,106
台北市文山區,女,16,"啦啦隊, 打工",107
新北市三峽區,女,30,"社團, 打工",106
新北市板橋區,女,16,"啦啦隊, 打工",107
台中市烏日區,男,21,啦啦隊,107
新北市三峽區,男,23,"啦啦隊, 學會",107
新北市永和區,女,16,打工,107
高雄市鳳山區,女,18,無,107
新北市三峽區,女,14,打工,105
新北市三峽區,男,16,無,107
台北市內湖區,男,18,無,107
台中市西屯區,女,20,"社團, 啦啦隊",107
新北市中和區,女,16,打工,107
新北市三峽區,女,28,"社團, 打工",106
台中市北屯區,女,21,啦啦隊,107
新北市中和區,女,21,打工,107
新北市三峽區,男,20,"社團, 啦啦隊",107
新北市三峽區,女,13,上課,104
新北市三峽區,女,19,"啦啦隊, 系桌",107
彰化縣花壇鄉,女,21,"社團, 打工",107
新北市新店區,女,18,"啦啦隊, 男排球經(加球經!!)",107
新北市三峽區,女,16,打工,104
新北市永和區,女,17,"打工, hp夢工廠培訓",105
新北市新莊區,女,18,"社團, 啦啦隊",107
台北市南港區,女,16,啦啦隊,107
高雄市左營區,男,26,"社團, 啦啦隊",106
新北市樹林區,女,18,"啦啦隊, 打工",107
新北市樹林區,女,29,"社團, 打工",106
台中市北屯區,女,20,無,107
台北市大安區,女,18,"啦啦隊, 系排",107
台北市內湖區,女,21,啦啦隊,107
高雄市左營區,女,20,啦啦隊,107
新竹縣竹東鎮,女,16,社團,107
台中市南屯區,女,24,啦啦隊,107
新北市三峽區,男,28,"社團, 打工",104
嘉義市東區,女,21,啦啦隊,107
宜蘭縣礁溪鄉,女,18,無,107
台北市內湖區,女,16,"啦啦隊, 打工",107
高雄市三民區,女,19,啦啦隊,107
台北市中正區,女,19,啦啦隊,107
新北市三峽區,男,21,無,107
新北市板橋區,男,18,無,107
新北市汐止區,女,16,無,107
嘉義縣朴子市,女,20,"啦啦隊, 系排",107
高雄市大社區,女,20,"啦啦隊, 系羽",107
新北市樹林區,女,28,無,105
新北市三重區,男,20,啦啦隊,107
新北市三峽區,男,16,啦啦隊,107
台北市文山區,男,16,"啦啦隊, 系排",107
新北市土城區,女,2,"社團, 打工",107
