Timestamp,學號,居住地行政區,性別,本學期學分數,本學期目前已參加之課外活動
9/26/2018 17:09:12,410773028,基隆市,男,20,啦啦隊
10/17/2018 16:28:33,410773056,新北市三峽區,女,20,社團
10/17/2018 16:28:40,410773098,高雄市楠梓區,女,18,無
10/17/2018 16:28:43,410672091,台中市南屯區,女,30,"社團, 學會"
10/17/2018 16:28:48,410473080,台北市信義區,男,10,校外實習
10/17/2018 16:28:50,410773074,新北市永和區,女,18,打工
10/17/2018 16:28:51,410773072,台北市,女,16,無
10/17/2018 16:28:53,410582056,台中市東區,男,31,打工
10/17/2018 16:28:57,410773018,台北市內湖區,女,18,"啦啦隊, 打工"
10/17/2018 16:28:59,410674238,台中市大里區,男,26,社團
10/17/2018 16:29:09,410773017,台北市文山區,女,16,"啦啦隊, 打工"
10/17/2018 16:29:12,410672058,新北市三峽區,女,30,"社團, 打工"
10/17/2018 16:29:18,410773022,新北市板橋區,女,16,"啦啦隊, 打工"
10/17/2018 16:29:18,410773089,台中市烏日區,男,21,啦啦隊
10/17/2018 16:29:24,410773115,新北市三峽區,男,23,"啦啦隊, 學會"
10/17/2018 16:29:24,410773027,新北市永和區,女,16,打工
10/17/2018 16:29:26,410773054,高雄市鳳山區,女,18,無
10/17/2018 16:29:28,410579027,新北市三峽區,女,14,打工
10/17/2018 16:29:56,410773021,新北市三峽區,男,16,無
10/17/2018 16:29:40,410773068,台北市內湖區,男,18,無
10/17/2018 16:29:41,410773090,台中市西屯區,女,20,"社團, 啦啦隊"
10/17/2018 16:29:42,410773071,新北市中和區,女,16,打工
10/17/2018 16:29:45,410672098,新北市三峽區,女,28,"社團, 打工"
10/17/2018 16:29:49,410773041,台中市北屯區,女,21,啦啦隊
10/17/2018 16:29:55,410773084,新北市中和區,女,21,打工
10/17/2018 16:29:58,410773096,新北市三峽區,男,20,"社團, 啦啦隊"
10/17/2018 16:30:01,410478037,新北市三峽區,女,13,上課
10/17/2018 16:30:01,410773095,新北市三峽區,女,19,"啦啦隊, 系桌"
10/17/2018 16:30:02,410773091,彰化縣花壇鄉,女,21,"社團, 打工"
10/17/2018 16:30:05,410773026,新北市新店區,女,18,"啦啦隊, 男排球經(加球經!!)"
10/17/2018 16:30:06,410478034,新北市三峽區,女,16,打工
10/17/2018 16:30:10,410573076,新北市永和區,女,17,"打工, hp夢工廠培訓"
10/17/2018 16:30:12,410773083,新北市新莊區,女,18,"社團, 啦啦隊"
10/17/2018 16:30:12,410773079,台北市南港區,女,16,啦啦隊
10/17/2018 16:30:18,410682031,高雄市左營區,男,26,"社團, 啦啦隊"
10/17/2018 16:30:24,410773107,新北市樹林區,女,18,"啦啦隊, 打工"
10/17/2018 16:30:24,410682013,新北市樹林區,女,29,"社團, 打工"
10/17/2018 16:30:25,410773062,台中市北屯區,女,20,無
10/17/2018 16:30:26,410773012,台北市大安區,女,18,"啦啦隊, 系排"
10/17/2018 16:30:26,410773069,台北市內湖區,女,21,啦啦隊
10/17/2018 16:30:27,410773052,高雄市左營區,女,20,啦啦隊
10/17/2018 16:30:33,410773110,新竹縣竹東鎮,女,16,社團
10/17/2018 16:30:40,410773037,台中市南屯區,女,24,啦啦隊
10/17/2018 16:30:44,410478001,新北市三峽區,男,28,"社團, 打工"
10/17/2018 16:30:46,410773113,嘉義市東區,女,21,啦啦隊
10/17/2018 16:30:48,410773057,宜蘭縣礁溪鄉,女,18,無
10/17/2018 16:30:52,410773010,台北市內湖區,女,16,"啦啦隊, 打工"
10/17/2018 16:31:00,410773119,高雄市三民區,女,19,啦啦隊
10/17/2018 16:31:00,410773019,台北市中正區,女,19,啦啦隊
10/17/2018 16:31:49,410773127,新北市三峽區,男,21,無
10/17/2018 16:36:30,410773006,新北市板橋區,男,18,無
10/17/2018 16:36:40,410773076,新北市汐止區,女,16,無
10/17/2018 16:37:33,410773116,嘉義縣朴子市,女,20,"啦啦隊, 系排"
10/17/2018 16:37:45,410773055,高雄市大社區,女,20,"啦啦隊, 系羽"
10/17/2018 16:41:27,410577093,新北市樹林區,女,28,無
10/17/2018 16:46:45,410773025,新北市三重區,男,20,啦啦隊
10/17/2018 16:48:46,410773013,新北市三峽區,男,16,啦啦隊
10/17/2018 17:04:15,410773003,台北市文山區,男,16,"啦啦隊, 系排"
10/24/2018 16:19:14,410773023,新北市土城區,女,2,"社團, 打工"
11/4/2018 15:40:58,410773118,高雄市苓雅區,男,16,啦啦隊
