期間,幣別,匯率,年月,年份,月份,年初匯率,調整後匯率,月升值率
1960-01-01,歐元EUR/USD,NA,1960-01-01,1960,1,NA,NA,NA
1960-02-01,歐元EUR/USD,NA,1960-02-01,1960,2,NA,NA,NA
1960-03-01,歐元EUR/USD,NA,1960-03-01,1960,3,NA,NA,NA
1960-04-01,歐元EUR/USD,NA,1960-04-01,1960,4,NA,NA,NA
1960-05-01,歐元EUR/USD,NA,1960-05-01,1960,5,NA,NA,NA
1960-06-01,歐元EUR/USD,NA,1960-06-01,1960,6,NA,NA,NA
1960-07-01,歐元EUR/USD,NA,1960-07-01,1960,7,NA,NA,NA
1960-08-01,歐元EUR/USD,NA,1960-08-01,1960,8,NA,NA,NA
1960-09-01,歐元EUR/USD,NA,1960-09-01,1960,9,NA,NA,NA
1960-10-01,歐元EUR/USD,NA,1960-10-01,1960,10,NA,NA,NA
1960-11-01,歐元EUR/USD,NA,1960-11-01,1960,11,NA,NA,NA
1960-12-01,歐元EUR/USD,NA,1960-12-01,1960,12,NA,NA,NA
1961-01-01,歐元EUR/USD,NA,1961-01-01,1961,1,NA,NA,NA
1961-02-01,歐元EUR/USD,NA,1961-02-01,1961,2,NA,NA,NA
1961-03-01,歐元EUR/USD,NA,1961-03-01,1961,3,NA,NA,NA
1961-04-01,歐元EUR/USD,NA,1961-04-01,1961,4,NA,NA,NA
1961-05-01,歐元EUR/USD,NA,1961-05-01,1961,5,NA,NA,NA
1961-06-01,歐元EUR/USD,NA,1961-06-01,1961,6,NA,NA,NA
1961-07-01,歐元EUR/USD,NA,1961-07-01,1961,7,NA,NA,NA
1961-08-01,歐元EUR/USD,NA,1961-08-01,1961,8,NA,NA,NA
1961-09-01,歐元EUR/USD,NA,1961-09-01,1961,9,NA,NA,NA
1961-10-01,歐元EUR/USD,NA,1961-10-01,1961,10,NA,NA,NA
1961-11-01,歐元EUR/USD,NA,1961-11-01,1961,11,NA,NA,NA
1961-12-01,歐元EUR/USD,NA,1961-12-01,1961,12,NA,NA,NA
1962-01-01,歐元EUR/USD,NA,1962-01-01,1962,1,NA,NA,NA
1962-02-01,歐元EUR/USD,NA,1962-02-01,1962,2,NA,NA,NA
1962-03-01,歐元EUR/USD,NA,1962-03-01,1962,3,NA,NA,NA
1962-04-01,歐元EUR/USD,NA,1962-04-01,1962,4,NA,NA,NA
1962-05-01,歐元EUR/USD,NA,1962-05-01,1962,5,NA,NA,NA
1962-06-01,歐元EUR/USD,NA,1962-06-01,1962,6,NA,NA,NA
1962-07-01,歐元EUR/USD,NA,1962-07-01,1962,7,NA,NA,NA
1962-08-01,歐元EUR/USD,NA,1962-08-01,1962,8,NA,NA,NA
1962-09-01,歐元EUR/USD,NA,1962-09-01,1962,9,NA,NA,NA
1962-10-01,歐元EUR/USD,NA,1962-10-01,1962,10,NA,NA,NA
1962-11-01,歐元EUR/USD,NA,1962-11-01,1962,11,NA,NA,NA
1962-12-01,歐元EUR/USD,NA,1962-12-01,1962,12,NA,NA,NA
1963-01-01,歐元EUR/USD,NA,1963-01-01,1963,1,NA,NA,NA
1963-02-01,歐元EUR/USD,NA,1963-02-01,1963,2,NA,NA,NA
1963-03-01,歐元EUR/USD,NA,1963-03-01,1963,3,NA,NA,NA
1963-04-01,歐元EUR/USD,NA,1963-04-01,1963,4,NA,NA,NA
1963-05-01,歐元EUR/USD,NA,1963-05-01,1963,5,NA,NA,NA
1963-06-01,歐元EUR/USD,NA,1963-06-01,1963,6,NA,NA,NA
1963-07-01,歐元EUR/USD,NA,1963-07-01,1963,7,NA,NA,NA
1963-08-01,歐元EUR/USD,NA,1963-08-01,1963,8,NA,NA,NA
1963-09-01,歐元EUR/USD,NA,1963-09-01,1963,9,NA,NA,NA
1963-10-01,歐元EUR/USD,NA,1963-10-01,1963,10,NA,NA,NA
1963-11-01,歐元EUR/USD,NA,1963-11-01,1963,11,NA,NA,NA
1963-12-01,歐元EUR/USD,NA,1963-12-01,1963,12,NA,NA,NA
1964-01-01,歐元EUR/USD,NA,1964-01-01,1964,1,NA,NA,NA
1964-02-01,歐元EUR/USD,NA,1964-02-01,1964,2,NA,NA,NA
1964-03-01,歐元EUR/USD,NA,1964-03-01,1964,3,NA,NA,NA
1964-04-01,歐元EUR/USD,NA,1964-04-01,1964,4,NA,NA,NA
1964-05-01,歐元EUR/USD,NA,1964-05-01,1964,5,NA,NA,NA
1964-06-01,歐元EUR/USD,NA,1964-06-01,1964,6,NA,NA,NA
1964-07-01,歐元EUR/USD,NA,1964-07-01,1964,7,NA,NA,NA
1964-08-01,歐元EUR/USD,NA,1964-08-01,1964,8,NA,NA,NA
1964-09-01,歐元EUR/USD,NA,1964-09-01,1964,9,NA,NA,NA
1964-10-01,歐元EUR/USD,NA,1964-10-01,1964,10,NA,NA,NA
1964-11-01,歐元EUR/USD,NA,1964-11-01,1964,11,NA,NA,NA
1964-12-01,歐元EUR/USD,NA,1964-12-01,1964,12,NA,NA,NA
1965-01-01,歐元EUR/USD,NA,1965-01-01,1965,1,NA,NA,NA
1965-02-01,歐元EUR/USD,NA,1965-02-01,1965,2,NA,NA,NA
1965-03-01,歐元EUR/USD,NA,1965-03-01,1965,3,NA,NA,NA
1965-04-01,歐元EUR/USD,NA,1965-04-01,1965,4,NA,NA,NA
1965-05-01,歐元EUR/USD,NA,1965-05-01,1965,5,NA,NA,NA
1965-06-01,歐元EUR/USD,NA,1965-06-01,1965,6,NA,NA,NA
1965-07-01,歐元EUR/USD,NA,1965-07-01,1965,7,NA,NA,NA
1965-08-01,歐元EUR/USD,NA,1965-08-01,1965,8,NA,NA,NA
1965-09-01,歐元EUR/USD,NA,1965-09-01,1965,9,NA,NA,NA
1965-10-01,歐元EUR/USD,NA,1965-10-01,1965,10,NA,NA,NA
1965-11-01,歐元EUR/USD,NA,1965-11-01,1965,11,NA,NA,NA
1965-12-01,歐元EUR/USD,NA,1965-12-01,1965,12,NA,NA,NA
1966-01-01,歐元EUR/USD,NA,1966-01-01,1966,1,NA,NA,NA
1966-02-01,歐元EUR/USD,NA,1966-02-01,1966,2,NA,NA,NA
1966-03-01,歐元EUR/USD,NA,1966-03-01,1966,3,NA,NA,NA
1966-04-01,歐元EUR/USD,NA,1966-04-01,1966,4,NA,NA,NA
1966-05-01,歐元EUR/USD,NA,1966-05-01,1966,5,NA,NA,NA
1966-06-01,歐元EUR/USD,NA,1966-06-01,1966,6,NA,NA,NA
1966-07-01,歐元EUR/USD,NA,1966-07-01,1966,7,NA,NA,NA
1966-08-01,歐元EUR/USD,NA,1966-08-01,1966,8,NA,NA,NA
1966-09-01,歐元EUR/USD,NA,1966-09-01,1966,9,NA,NA,NA
1966-10-01,歐元EUR/USD,NA,1966-10-01,1966,10,NA,NA,NA
1966-11-01,歐元EUR/USD,NA,1966-11-01,1966,11,NA,NA,NA
1966-12-01,歐元EUR/USD,NA,1966-12-01,1966,12,NA,NA,NA
1967-01-01,歐元EUR/USD,NA,1967-01-01,1967,1,NA,NA,NA
1967-02-01,歐元EUR/USD,NA,1967-02-01,1967,2,NA,NA,NA
1967-03-01,歐元EUR/USD,NA,1967-03-01,1967,3,NA,NA,NA
1967-04-01,歐元EUR/USD,NA,1967-04-01,1967,4,NA,NA,NA
1967-05-01,歐元EUR/USD,NA,1967-05-01,1967,5,NA,NA,NA
1967-06-01,歐元EUR/USD,NA,1967-06-01,1967,6,NA,NA,NA
1967-07-01,歐元EUR/USD,NA,1967-07-01,1967,7,NA,NA,NA
1967-08-01,歐元EUR/USD,NA,1967-08-01,1967,8,NA,NA,NA
1967-09-01,歐元EUR/USD,NA,1967-09-01,1967,9,NA,NA,NA
1967-10-01,歐元EUR/USD,NA,1967-10-01,1967,10,NA,NA,NA
1967-11-01,歐元EUR/USD,NA,1967-11-01,1967,11,NA,NA,NA
1967-12-01,歐元EUR/USD,NA,1967-12-01,1967,12,NA,NA,NA
1968-01-01,歐元EUR/USD,NA,1968-01-01,1968,1,NA,NA,NA
1968-02-01,歐元EUR/USD,NA,1968-02-01,1968,2,NA,NA,NA
