期間,幣別,匯率,貶值率,年份,時期
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1980-01-01,歐元USD/EUR,NA,NA,1980,60-80
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1981-01-01,歐元USD/EUR,NA,NA,1981,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1982-01-01,歐元USD/EUR,NA,NA,1982,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1983-01-01,歐元USD/EUR,NA,NA,1983,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1984-01-01,歐元USD/EUR,NA,NA,1984,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1985-01-01,歐元USD/EUR,NA,NA,1985,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1986-01-01,歐元USD/EUR,NA,NA,1986,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
1987-01-01,歐元USD/EUR,NA,NA,1987,80-90
