"訂單時區","訂單時間.以訂單時區顯示.","UTC時間"
"Asia/Taipei","2015-09-16 03:07:30",1970-01-01 00:00:01
"Asia/Taipei","2014-12-25 07:03:23",1970-01-01 00:00:01
"America/New_York","2014-03-10 12:37:20",1970-01-01 00:00:01
"America/New_York","2016-04-18 02:49:09",1970-01-01 00:00:01
"America/New_York","2013-11-25 10:48:01",1970-01-01 00:00:01
"Asia/Taipei","2016-03-30 06:00:37",1970-01-01 00:00:01
"Asia/Taipei","2014-12-09 06:56:56",1970-01-01 00:00:01
"America/New_York","2013-12-26 12:33:02",1970-01-01 00:00:01
"America/New_York","2015-11-27 09:06:31",1970-01-01 00:00:01
"America/New_York","2015-10-07 04:28:42",1970-01-01 00:00:01
"America/New_York","2015-03-10 04:46:32",1970-01-01 00:00:01
"America/New_York","2016-12-16 05:32:45",1970-01-01 00:00:01
"Asia/Taipei","2015-05-05 06:01:06",1970-01-01 00:00:01
"America/New_York","2014-12-19 05:21:38",1970-01-01 00:00:01
"America/New_York","2017-05-23 08:18:53",1970-01-01 00:00:01
"Asia/Taipei","2014-09-20 07:24:36",1970-01-01 00:00:01
"America/New_York","2014-02-12 05:27:58",1970-01-01 00:00:01
"Asia/Taipei","2017-03-18 07:36:27",1970-01-01 00:00:01
"America/New_York","2017-04-12 01:41:55",1970-01-01 00:00:01
"America/New_York","2015-12-28 01:36:47",1970-01-01 00:00:01
"America/New_York","2015-04-21 07:02:07",1970-01-01 00:00:01
"America/New_York","2016-09-29 04:37:15",1970-01-01 00:00:01
"Asia/Taipei","2014-12-30 12:41:10",1970-01-01 00:00:01
"Asia/Taipei","2015-06-25 00:56:39",1970-01-01 00:00:01
"America/New_York","2016-05-25 05:41:31",1970-01-01 00:00:01
"Asia/Taipei","2015-09-03 03:11:02",1970-01-01 00:00:01
"Asia/Taipei","2016-03-02 11:33:50",1970-01-01 00:00:01
"Asia/Taipei","2016-11-14 11:39:56",1970-01-01 00:00:01
"America/New_York","2013-12-17 06:53:47",1970-01-01 00:00:01
"Asia/Taipei","2016-06-07 12:35:56",1970-01-01 00:00:01
"America/New_York","2015-07-01 06:22:58",1970-01-01 00:00:01
"Asia/Taipei","2016-07-14 06:55:24",1970-01-01 00:00:01
"Asia/Taipei","2017-02-16 07:31:55",1970-01-01 00:00:01
"America/New_York","2015-12-07 05:31:47",1970-01-01 00:00:01
"America/New_York","2015-06-10 07:33:04",1970-01-01 00:00:01
"America/New_York","2014-05-21 02:19:29",1970-01-01 00:00:01
"America/New_York","2015-01-05 02:00:33",1970-01-01 00:00:01
"Asia/Taipei","2015-10-23 08:41:09",1970-01-01 00:00:01
"Asia/Taipei","2016-04-07 09:19:03",1970-01-01 00:00:01
"America/New_York","2013-12-17 03:53:26",1970-01-01 00:00:01
"Asia/Taipei","2015-03-28 06:37:51",1970-01-01 00:00:01
"Asia/Taipei","2017-03-24 02:46:08",1970-01-01 00:00:01
"America/New_York","2015-05-19 08:20:28",1970-01-01 00:00:01
"Asia/Taipei","2014-06-29 05:54:04",1970-01-01 00:00:01
"Asia/Taipei","2015-11-25 08:54:45",1970-01-01 00:00:01
"America/New_York","2015-09-17 09:33:28",1970-01-01 00:00:01
"Asia/Taipei","2014-09-15 06:44:05",1970-01-01 00:00:01
"America/New_York","2015-11-11 04:32:01",1970-01-01 00:00:01
"Asia/Taipei","2016-03-15 10:23:40",1970-01-01 00:00:01
"Asia/Taipei","2015-06-16 12:34:48",1970-01-01 00:00:01
"Asia/Taipei","2016-12-02 06:49:51",1970-01-01 00:00:01
"Asia/Taipei","2017-04-11 09:39:06",1970-01-01 00:00:01
"Asia/Taipei","2017-04-28 05:32:18",1970-01-01 00:00:01
"Asia/Taipei","2017-04-28 02:37:13",1970-01-01 00:00:01
"Asia/Taipei","2016-06-20 01:28:30",1970-01-01 00:00:01
"America/New_York","2014-07-08 01:37:37",1970-01-01 00:00:01
"Asia/Taipei","2014-09-09 07:21:22",1970-01-01 00:00:01
"Asia/Taipei","2014-01-06 10:01:48",1970-01-01 00:00:01
"Asia/Taipei","2016-09-13 08:19:25",1970-01-01 00:00:01
"Asia/Taipei","2015-12-23 03:27:28",1970-01-01 00:00:01
"America/New_York","2016-04-14 05:46:48",1970-01-01 00:00:01
"Asia/Taipei","2015-05-19 08:36:12",1970-01-01 00:00:01
"America/New_York","2016-09-23 04:02:07",1970-01-01 00:00:01
"America/New_York","2017-03-01 05:44:16",1970-01-01 00:00:01
"Asia/Taipei","2016-08-29 04:00:31",1970-01-01 00:00:01
"Asia/Taipei","2016-09-19 06:14:17",1970-01-01 00:00:01
"America/New_York","2015-10-06 10:50:37",1970-01-01 00:00:01
"Asia/Taipei","2015-03-04 12:29:06",1970-01-01 00:00:01
"America/New_York","2017-09-10 06:31:47",1970-01-01 00:00:01
"America/New_York","2015-08-13 07:22:21",1970-01-01 00:00:01
