學號,書籍類別,書籍名稱,讀者借閱冊數,書籍出版日期,書籍出版者,書籍館藏地,書籍上架年月,書籍標題(subject),讀者年級,學院,借閱時間
Ae1ccee51b0,語言文學類,名偵探的守則,13,2007,全力出版,3F中文圖書區,2009-06-23,NA,1,法律學院,2014-04-24T10:44:41Z
Bb7d36ae8d4,語言文學類,"青春紀行 = Golden time. 3, 化妝舞會",47,2012,臺灣角川,3F中文圖書區,2014-05-06,日本文學,1,公共事務學院,2014-06-23T05:59:46Z
K94ed57dfce,語言文學類,紅樓夢校注,56,1984,里仁,3F中文圖書區,2001-03-23,紅樓夢註釋,3,人文學院,2016-04-16T00:26:24Z
Ie4846b9681,應用科學類,懶人專用商務英文e-mail : 149篇萬用情境範例即時抄,21,2009,美商麥格羅？希爾,1F職涯博覽專區,2013-08-19,商業書信,4,商學院,2017-06-01T08:55:44Z
C7f040d5ba7,藝術類,音樂原來是這樣 : 音程的奧妙與魅力,83,2011,新銳文創,3F中文圖書區,2012-06-21,音樂,1,社會科學院,2014-04-07T08:09:07Z
A1244894982,哲學類,人格心理學,46,1995,桂冠,3F中文圖書區,2000-09-29,人格心理學,2,法律學院,2015-03-27T02:24:03Z
Bb7d36ae8d4,藝術類,飢餓遊戲 [電影片] : 星火燎原 = The hunger games : catching fire,33,2014,得寶影片,1F視聽區,2014-09-11,電影片,2,公共事務學院,2015-01-16T06:03:17Z
Gc3ebb48e80,語言文學類,殺手.登峰造極的畫 = Killer,45,2005,春天出版國際文化,3F中文圖書區,2013-07-19,長篇小說,3,商學院,2015-12-11T11:38:48Z
C4fd54183e6,語言文學類,全民英檢中高級聽力＆閱讀能力測驗,21,2005,國際學村出版,1F流通櫃檯,2008-05-26,英國語言問題集,3,社會科學院,2016-02-22T07:09:17Z
Aeee44ff5ab,社會科學類,因果關係與損害賠償,4,2007,元照,3F中文圖書區,2007-04-12,賠償(法律),4,法律學院,2016-09-09T02:56:01Z
C376576f701,語言文學類,福爾摩斯先生收,8,2010,臉譜出版,3F中文圖書區,2010-10-29,NA,4,社會科學院,2017-05-12T07:28:01Z
C95ed86980c,哲學類,"一天15分鐘, 改變人生的整理術 : 讓你重燃生活熱情的空間.時間.人脈管理法",14,2013,高寶國際,1F職涯博覽專區,2013-11-08,生活指導,1,社會科學院,2014-02-26T07:47:00Z
C79297d891e,語言文學類,"波西傑克森.1,神火之賊",35,2009,遠流,3F中文圖書區,2010-02-26,NA,1,社會科學院,2013-12-25T02:29:47Z
Ac4baf77852,哲學類,被討厭的勇氣 : 自我啟發之父「阿德勒」的教導,29,2014,究竟,3F中文圖書區,2015-04-28,人際關係,3,法律學院,2016-06-23T02:56:04Z
L7852c44209,語言文學類,解憂雜貨店,57,2013,皇冠文化,3F中文圖書區,2013-12-30,日本文學,4,人文學院,2017-01-09T05:32:07Z
L609a0fe1d8,科學類,Utopia,4,1999,Bedford/St. Martin's,4F外文圖書區,2000-11-13,Utopias.,3,人文學院,2016-02-23T03:44:05Z
I10d9aa4eb3,社會科學類,投資學,3,2012,美商麥格羅？希爾出版,3F中文圖書區,2012-12-18,投資學,2,商學院,2015-06-01T04:04:30Z
B46f23fd1ce,語言文學類,少年Pi的奇幻漂流. 繪圖版,21,2008,皇冠文化,3F中文圖書區,2013-03-04,NA,2,公共事務學院,2015-02-03T07:22:49Z
Ia681a81132,社會科學類,公平交易法實論,29,2001,何之邁發行,3F中文圖書區,2001-12-26,公平交易法,4,商學院,2016-11-28T01:33:46Z
M2cfd224e46,藝術類,敲開我心門 [電影片] = The keys to the house,51,2005,得利影視,1F視聽區,2013-07-22,電影片,1,人文學院,2014-04-07T11:58:00Z
B7452fbd470,語言文學類,中高級聽力測驗,45,2004,常春藤有聲,1F流通櫃檯,2008-05-26,英國語言問題集,1,公共事務學院,2014-01-10T05:25:11Z
A24ae329612,科學類,"費曼物理學講義. III, 量子力學(1), 量子行為",37,2013,天下遠見,3F中文圖書區,2014-06-11,物理學,2,法律學院,2015-03-05T06:54:41Z
Ie6ffdf5ac2,語言文學類,十二國記:風之萬里？黎明之空,50,2004,尖端出版,3F中文圖書區,2008-03-05,NA,2,商學院,2015-06-04T12:30:43Z
M49e315c37d,藝術類,迷魂記,17,NA,沙鷗影視公司發行,1F視聽區,2000-11-10,NA,1,人文學院,2014-03-14T10:00:44Z
