年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2017,工業及服務業部門,27055,98.31,22841,99.06,23806,97.95,25527,98.16,28446,98.36,33633,98.93
2017,工業部門,26860,98.11,22669,98.93,23667,97.8,25393,97.99,28263,98.12,33448,98.77
2017,礦業及土石採取業,26170,96.2,22160,97.39,24294,93.79,25233,95.11,27718,97.41,32734,97.32
2017,製造業,26782,98.23,22563,99.02,23508,98.13,25257,98.22,28155,98.23,33458,98.82
2017,電力及燃氣供應業,28685,97.14999999999999,24050,100,26271,94.94,27256,96.7,30015,96.98,33793,99.63
2017,用水供應及污染整治業,27459,97.42,23013,98.08,24767,96.69,27517,97.01,29834,98.5,33673,96.02
2017,營造業,27486,97.34,24112,99.48,24721,96.42,26134,95.96,28952,96.71,33210,98.7
2017,服務業部門,27363,98.56,23045,99.21,24050,98.18,25757,98.38,28715,98.65,33922,99.14
2017,批發及零售業,26457,98.54,23376,99.02,23946,98.24,25151,98.3,27611,98.7,32910,99.05
2017,運輸及倉儲業,28328,97.86999999999999,24373,97.8,25757,96.09,27526,96.97,29808,97.71,33298,99.72
2017,住宿及餐飲業,25068,99.13,23285,99.45,23849,99.37,24958,99.01,26398,98.89,29272,100
2017,資訊及通訊傳播業,28918,98.58,22356,100,23826,99.05,26063,98.79,29198,98.74,33944,99.18
2017,金融及保險業,31690,99.3,24046,100,25643,97.77,27442,99.85,31597,99.34,36569,99.5
2017,不動產業,27761,98.11999999999999,22102,97.76,24023,98.91,26191,97.34,28552,99.27,33078,98.32
2017,專業_科學及技術服務業,29345,97.86,23556,99.58,24148,98.72,25807,98.82,29648,98.26,35666,98.68
2017,支援服務業,25199,98.96000000000001,22458,99,23422,98.84,25011,98.99,26909,98.4,30728,99.32
2017,教育服務業,25383,97.8,22235,101.18,22776,100.06,23953,97.84,25784,97.59,29365,96.56
2017,醫療保健服務業,27733,98.98,22703,99.53,23705,99.32,26028,98.65,29893,99.14,34112,99.24
2017,藝術_娛樂及休閒服務業,25136,97.99000000000001,22851,99.94,23631,98.68,25004,98.19,26614,97.42,30160,98.01
2017,其他服務業,23848,97.61,21810,99.97,22685,98.01,24007,97.41,25517,96.57,29841,99.85
