"","銀行","年月","定存利率-一個月-固定","定存利率-二年期-固定","定存利率-三年期-固定","西元年月"
"1","臺灣銀行","090/01",4.4,5.1,5.2,2001-01-01
"2","臺灣銀行","090/02",4.25,4.9,5,2001-02-01
"3","臺灣銀行","090/03",4.15,4.79,4.89,2001-03-01
"4","臺灣銀行","090/04",3.8,4.275,4.275,2001-04-01
"5","臺灣銀行","090/05",3.675,4.15,4.15,2001-05-01
"6","臺灣銀行","090/06",3.675,4.15,4.15,2001-06-01
"7","臺灣銀行","090/07",3.45,3.9,3.9,2001-07-01
"8","臺灣銀行","090/08",3.2,3.65,3.65,2001-08-01
"9","臺灣銀行","090/09",2.75,3.15,3.15,2001-09-01
"10","臺灣銀行","090/10",2.5,2.8,2.8,2001-10-01
"11","臺灣銀行","090/11",2.2,2.5,2.5,2001-11-01
"12","臺灣銀行","090/12",2.2,2.5,2.5,2001-12-01
"13","臺灣銀行","091/01",2,2.3,2.3,2002-01-01
"14","臺灣銀行","091/02",2,2.3,2.3,2002-02-01
"15","臺灣銀行","091/03",2,2.3,2.3,2002-03-01
"16","臺灣銀行","091/04",2.1,2.4,2.4,2002-04-01
"17","臺灣銀行","091/05",2.1,2.4,2.4,2002-05-01
"18","臺灣銀行","091/06",2.1,2.4,2.4,2002-06-01
"19","臺灣銀行","091/07",1.8,2.2,2.25,2002-07-01
"20","臺灣銀行","091/08",1.8,2.2,2.25,2002-08-01
"21","臺灣銀行","091/09",1.8,2.2,2.25,2002-09-01
"22","臺灣銀行","091/10",1.8,2.2,2.25,2002-10-01
"23","臺灣銀行","091/11",1.55,1.95,1.975,2002-11-01
"24","臺灣銀行","091/12",1.55,1.95,1.975,2002-12-01
"25","臺灣銀行","092/01",1.2,1.6,1.625,2003-01-01
"26","臺灣銀行","092/02",1.2,1.6,1.625,2003-02-01
"27","臺灣銀行","092/03",1.2,1.6,1.625,2003-03-01
"28","臺灣銀行","092/04",1.2,1.6,1.625,2003-04-01
"29","臺灣銀行","092/05",1.2,1.6,1.625,2003-05-01
"30","臺灣銀行","092/06",1.2,1.6,1.625,2003-06-01
"31","臺灣銀行","092/07",1.075,1.475,1.5,2003-07-01
"32","臺灣銀行","092/08",1.075,1.475,1.5,2003-08-01
"33","臺灣銀行","092/09",1.075,1.475,1.5,2003-09-01
"34","臺灣銀行","092/10",1.075,1.475,1.5,2003-10-01
"35","臺灣銀行","092/11",1.075,1.475,1.5,2003-11-01
"36","臺灣銀行","092/12",1.075,1.475,1.5,2003-12-01
"37","臺灣銀行","093/01",1.075,1.475,1.5,2004-01-01
"38","臺灣銀行","093/02",1.075,1.475,1.5,2004-02-01
"39","臺灣銀行","093/03",1.075,1.475,1.5,2004-03-01
"40","臺灣銀行","093/04",1.075,1.475,1.5,2004-04-01
"41","臺灣銀行","093/05",1.075,1.475,1.5,2004-05-01
"42","臺灣銀行","093/06",1.075,1.475,1.5,2004-06-01
"43","臺灣銀行","093/07",1.075,1.475,1.5,2004-07-01
"44","臺灣銀行","093/08",1.075,1.475,1.5,2004-08-01
"45","臺灣銀行","093/09",1.075,1.475,1.5,2004-09-01
"46","臺灣銀行","093/10",1.15,1.6,1.625,2004-10-01
"47","臺灣銀行","093/11",1.15,1.6,1.625,2004-11-01
"48","臺灣銀行","093/12",1.15,1.6,1.625,2004-12-01
"49","臺灣銀行","094/01",1.215,1.67,1.7,2005-01-01
"50","臺灣銀行","094/02",1.215,1.67,1.7,2005-02-01
"51","臺灣銀行","094/03",1.285,1.77,1.8,2005-03-01
"52","臺灣銀行","094/04",1.285,1.77,1.8,2005-04-01
"53","臺灣銀行","094/05",1.285,1.77,1.8,2005-05-01
"54","臺灣銀行","094/06",1.285,1.77,1.8,2005-06-01
"55","臺灣銀行","094/07",1.355,1.87,1.9,2005-07-01
"56","臺灣銀行","094/08",1.355,1.87,1.9,2005-08-01
"57","臺灣銀行","094/09",1.425,1.97,2,2005-09-01
"58","臺灣銀行","094/10",1.425,1.97,2,2005-10-01
"59","臺灣銀行","094/11",1.425,1.97,2,2005-11-01
"60","臺灣銀行","094/12",1.495,2.07,2.1,2005-12-01
"61","臺灣銀行","095/01",1.495,2.07,2.1,2006-01-01
"62","臺灣銀行","095/02",1.495,2.07,2.1,2006-02-01
"63","臺灣銀行","095/03",1.495,2.07,2.1,2006-03-01
"64","臺灣銀行","095/04",1.565,2.14,2.17,2006-04-01
"65","臺灣銀行","095/05",1.565,2.14,2.17,2006-05-01
"66","臺灣銀行","095/06",1.565,2.14,2.17,2006-06-01
"67","臺灣銀行","095/07",1.635,2.21,2.24,2006-07-01
"68","臺灣銀行","095/08",1.635,2.21,2.24,2006-08-01
"69","臺灣銀行","095/09",1.635,2.21,2.24,2006-09-01
"70","臺灣銀行","095/10",1.705,2.28,2.31,2006-10-01
"71","臺灣銀行","095/11",1.705,2.28,2.31,2006-11-01
"72","臺灣銀行","095/12",1.705,2.28,2.31,2006-12-01
"73","臺灣銀行","096/01",1.735,2.31,2.34,2007-01-01
"74","臺灣銀行","096/02",1.735,2.31,2.34,2007-02-01
"75","臺灣銀行","096/03",1.735,2.31,2.34,2007-03-01
"76","臺灣銀行","096/04",1.765,2.34,2.34,2007-04-01
"77","臺灣銀行","096/05",1.765,2.34,2.34,2007-05-01
"78","臺灣銀行","096/06",1.965,2.59,2.605,2007-06-01
"79","臺灣銀行","096/07",1.965,2.59,2.605,2007-07-01
"80","臺灣銀行","096/08",1.965,2.59,2.605,2007-08-01
"81","臺灣銀行","096/09",2.025,2.65,2.665,2007-09-01
"82","臺灣銀行","096/10",2.025,2.65,2.665,2007-10-01
